# DO_NOT_CHANGE_HEADER,DataType,ID,Name,Category_Or_Symptom,BodyParts,Description,Tpl_Complaints,Tpl_Findings,Tpl_Treatments,Tpl_Recommendations,Rel_MuscleIDs,Rel_ActionIDs
"",TAG,tag_l_ac,肩鎖韌帶 (AC Ligament),ligament,shoulder,測試：琴鍵徵象(Piano Key Sign)。受傷時肩峰處有階梯狀凸起，按壓浮沉。,"","","","","",""
"",TAG,tag_l_ucl_elbow,尺側副韌帶 (UCL - Elbow),ligament,arm,測試：外翻壓力測試(Valgus Stress)。棒球/網球肘內側痛常見主因。,"","","","","",""
"",TAG,tag_l_trans_carpal,橫腕韌帶 (Transverse Carpal Lig.),ligament,arm,測試：Phalen's Test (手背對壓)。腕隧道症候群(CTS)之壓迫源。,"","","","","",""
"",TAG,tag_o_tfcc,三角纖維軟骨 (TFCC),ligament,arm,測試：Fovea Sign (尺骨莖突凹陷壓痛)。手腕尺側(小指側)疼痛主因。,"","","","","",""
"",TAG,tag_f_palmar,掌腱膜 (Palmar Aponeurosis),fascia,arm,觀察：手掌皮膚攣縮/增厚。杜普伊特倫氏攣縮(Dupuytren's)位置。,"","","","","",""
"",TAG,tag_l_nuchal,項韌帶 (Ligamentum Nuchae),ligament,neck,觸診：頸後正中線硬化/鈣化。長期低頭族常見緊繃點。,"","","","","",""
"",TAG,tag_l_iliolumbar,髂腰韌帶 (Iliolumbar Lig.),ligament,lower-back,測試：對側側彎(Side-bending)誘發疼痛。L5穩定關鍵，觸診髂嵴後內側。,"","","","","",""
"",TAG,tag_l_long_dorsal_si,長背側薦髂韌帶 (Long Dorsal SI Lig.),ligament,lower-back|hip,觸診：PSIS正下方壓痛。測試：薦骨反點頭(後傾)時疼痛。產後常見。,"","","","","",""
"",TAG,tag_l_inguinal,腹股溝韌帶 (Inguinal Lig.),ligament,hip,觸診：腹股溝溝槽壓痛。腹肌附著處，緊繃可能壓迫股神經。,"","","","","",""
"",TAG,tag_f_thoraco,胸腰筋膜 (Thoracolumbar Fascia),fascia,lower-back,測試：前彎測試。背部力量傳遞樞紐，下背痛必查。,"","","","","",""
"",TAG,tag_l_acl,前十字韌帶 (ACL),ligament,knee,測試：前抽屜測試(Ant. Drawer) / Lachman。限制脛骨前移。,"","","","","",""
"",TAG,tag_l_pcl,後十字韌帶 (PCL),ligament,knee,測試：後垂徵象(Sag Sign) / 後抽屜測試。限制脛骨後移。,"","","","","",""
"",TAG,tag_l_mcl,內側副韌帶 (MCL),ligament,knee,測試：外翻壓力測試(Valgus Stress)。膝內側痛常見。,"","","","","",""
"",TAG,tag_l_lcl,外側副韌帶 (LCL),ligament,knee,測試：內翻壓力測試(Varus Stress)。膝外側痛常見。,"","","","","",""
"",TAG,tag_o_meniscus,半月板 (Meniscus),ligament,knee,測試：McMurray / Thessaly (旋轉研磨)。膝關節卡住或彈響。,"","","","","",""
"",TAG,tag_l_atfl,前距腓韌帶 (ATFL),ligament,ankle,測試：前抽屜測試(Anterior Drawer)。腳踝扭傷(內翻)最常受損。,"","","","","",""
"",TAG,tag_l_cfl,跟腓韌帶 (CFL),ligament,ankle,測試：內翻距骨傾斜測試(Talar Tilt)。腳踝扭傷第二常見。,"","","","","",""
"",TAG,tag_l_deltoid,三角韌帶 (Deltoid Lig.),ligament,ankle,測試：外轉測試(Kleiger's) / 外翻壓力。踝內側穩定關鍵。,"","","","","",""
"",TAG,tag_f_flex_retin,屈肌支持帶 (Flexor Retinaculum),fascia,ankle,測試：Tinel's Sign (敲擊內踝後方)。跗管症候群/足底麻痛主因。,"","","","","",""
"",TAG,tag_f_itb,髂脛束 (IT Band),fascia,leg|knee,測試：Ober's Test (側躺內收)。大腿外側緊繃與跑者膝主因。,"","","","","",""
"",TAG,tag_f_plantar,足底筋膜 (Plantar Fascia),fascia,foot,測試：捲揚機測試(Windlass Test)。足跟痛/足底筋膜炎。,"","","","","",""